Title,Excerpt,Pub_Date,Stemmed_Title,Stemmed_Excerpt,Stemmed_Pub_Date
Understanding vendor lockin and breaking the cycle,I went through one of Gartners report and it say the key to breaking vendor lockin is to commit fully to a single technology vendor be it a cloud software provider a social network or our favorite sharing app It seems controversial on the surface but I wanted to jot down some quick note Maybe the approach is worth experimenting with,Jul 2018,understand vendor lockin and break the cycl,i went through one of gartner report and it say the key to break vendor lockin is to commit fulli to a singl technolog vendor be it a cloud softwar provid a social network or our favorit share app it seem controversi on the surfac but i want to jot down some quick note mayb the approach is worth experi with,jul 2018
Rolling cluster for deployment with Terraform,Terraform enables more than infrastructure provisioning you can even use it for deployment Combine it with Packer and you can have a very powerful immutable rolling deployment pipeline,Jul 2018,roll cluster for deploy with terraform,terraform enabl more than infrastructur provis you can even use it for deploy combin it with packer and you can have a veri power immut roll deploy pipelin,jul 2018
Working with Terraform Modules,Terraforms Modules feature allows quickly building reusable infrastructure template to provision cloud environment repeatably These note will help set up a basic application for highavailability,Jul 2018,work with terraform modul,terraform modul featur allow quickli build reusabl infrastructur templat to provis cloud environ repeat these note will help set up a basic applic for highavail,jul 2018
Getting started with Terraform,A basic walkthrough of Terraform the opensource cloudagnostic IaC tool by HashiCorp the maker of Vagrant,Oct 2017,get start with terraform,a basic walkthrough of terraform the opensourc cloudagnost iac tool by hashicorp the maker of vagrant,oct 2017
Upgrading to HTTP2,It is about time we all move our web property to HTTP2 I list down some gotchas for those looking to migrate,Sep 2017,upgrad to http2,it is about time we all move our web properti to http2 i list down some gotcha for those look to migrat,sep 2017
HTTP security header ReferrerPolicy,The web is a collection of interconnected page This mean chance are good that someone landing on your website is coming from another one and when they leave your website they take a lot of identifiable information with them HTTP2 allows you to control what happens to the referrer information when user leave your website,Sep 2017,http secur header referrerpolici,the web is a collect of interconnect page thi mean chanc are good that someon land on your websit is come from anoth one and when they leav your websit they take a lot of identifi inform with them http2 allow you to control what happen to the referr inform when user leav your websit,sep 2017
HTTP security header XContentTypeOptions,HTTP2 introduced a new feature which basically just turn off an old default feature the browser hankering for figuring out the content type of a resource Why and how should we turn it off,Sep 2017,http secur header xcontenttypeopt,http2 introduc a new featur which basic just turn off an old default featur the browser hanker for figur out the content type of a resourc whi and how should we turn it off,sep 2017
HTTP security header XFrameOptions,Inlineframes enable very basic phishing attack You can just include a bank main website within your own website and lure the user to handover their password HTTP2 come with builtin protection against this kind of threat,Sep 2017,http secur header xframeopt,inlinefram enabl veri basic phish attack you can just includ a bank main websit within your own websit and lure the user to handov their password http2 come with builtin protect against thi kind of threat,sep 2017
HTTP security header HTTPStrictTransportSecurity,HSTS is a security feature which prevents user from accessing your website over nonsecure HTTP It come with HTTP2 is easy to turn on but very hard to turn off Here is the why and how,Sep 2017,http secur header httpstricttransportsecur,hst is a secur featur which prevent user from access your websit over nonsecur http it come with http2 is easi to turn on but veri hard to turn off here is the whi and how,sep 2017
HTTP security header XXSSProtection,HTTP2 come with builtin protection for XSS Here is what it doe and how to turn it on,Sep 2017,http secur header xxssprotect,http2 come with builtin protect for xss here is what it doe and how to turn it on,sep 2017
HTTP security header ContentSecurityPolicy,HTTP2s CSP let u you define a whitelist of what is allowed and what is blocked on your website This let u browser block thirdparty tracker which try to annoyharm your user Here is the why and how,Sep 2017,http secur header contentsecuritypolici,http2 csp let u you defin a whitelist of what is allow and what is block on your websit thi let u browser block thirdparti tracker which tri to annoyharm your user here is the whi and how,sep 2017
I am killing Disqus comment on my blog Here is why,I added the Disqus commenting platform to my blog some time ago And then I found out that it wa loading WAY TOO MANY tracking cooky inline and profiling my website user This is how you build Orwellian software And shitty software,Sep 2017,i am kill disqu comment on my blog here is whi,i ad the disqu comment platform to my blog some time ago and then i found out that it wa load way too mani track cooki inlin and profil my websit user thi is how you build orwellian softwar and shitti softwar,sep 2017
Posting message to Slack using incoming webhooks and Python3 Requests API,Slack ha become a favorite of DevOpsSRE team across the globe It is a very easytouse and programmatic messaging platform Here is the quick and easy process to posting message to your Slack group from Python,Sep 2017,post messag to slack use incom webhook and python3 request api,slack ha becom a favorit of devopssr team across the globe it is a veri easytous and programmat messag platform here is the quick and easi process to post messag to your slack group from python,sep 2017
Using Packer and Ansible to create immutable server deploying code and recycling instance,Packer is an amazing golden image builder Ansible is a great deployment tool So let u use them together,Sep 2017,use packer and ansibl to creat immut server deploy code and recycl instanc,packer is an amaz golden imag builder ansibl is a great deploy tool so let u use them togeth,sep 2017
Getting started with Packer,Packer Basically Docker for whole VMs Another great tool by HashiCorp this one modernises an old formula but retains the simplicity Building immutable server wa never this easy,Sep 2017,get start with packer,packer basic docker for whole vm anoth great tool by hashicorp thi one modernis an old formula but retain the simplic build immut server wa never thi easi,sep 2017
The different way I have deployed code over the year the road to Immutable Servers,I took a walk down memory lane to try and figure out how much my daily work ha changed The concept are still the same but the tool have become bigger because our need have shifted dramatically over the year,Sep 2017,the differ way i have deploy code over the year the road to immut server,i took a walk down memori lane to tri and figur out how much my daili work ha chang the concept are still the same but the tool have becom bigger becaus our need have shift dramat over the year,sep 2017
Testing AWS Elastic Load Balancer health check endpoint with Python,A quick script for adhoc healthchecking of load balancer instance,Sep 2017,test aw elast load balanc health check endpoint with python,a quick script for adhoc healthcheck of load balanc instanc,sep 2017
Complete Nginx Monitoring with Collectd and InfluxDB,I recently discovered InfluxDB a a great writeheavy database for storing metric These are my note on monitoring the golden signal in Nginx using Collectd and InfluxDB,Aug 2017,complet nginx monitor with collectd and influxdb,i recent discov influxdb a a great writeheavi databas for store metric these are my note on monitor the golden signal in nginx use collectd and influxdb,aug 2017
Deploying Jekyll blog automatically using Bitbucket Pipelines,Because why not Here is how to build your Jekyll website and deploy it to a VM of your choice,Aug 2017,deploy jekyl blog automat use bitbucket pipelin,becaus whi not here is how to build your jekyl websit and deploy it to a vm of your choic,aug 2017
Migrating MySQL database table to InfluxDB,If you ever need to migrate a MySQL database to InfluxDB say if you were using MySQL a a metric database because you were too busy not knowing Influx even existed then this handy Python script can do the job and take care of schema migration too,Aug 2017,migrat mysql databas tabl to influxdb,if you ever need to migrat a mysql databas to influxdb say if you were use mysql a a metric databas becaus you were too busi not know influx even exist then thi handi python script can do the job and take care of schema migrat too,aug 2017
Backing up InfluxDB database to S3,A handy bash script to backup your InfluxDB database to AWS S3 great for cron job,Aug 2017,back up influxdb databas to s3,a handi bash script to backup your influxdb databas to aw s3 great for cron job,aug 2017
Setting Up Grafana to use Collectd and InfluxDB,Grafana provides outofthebox support for InfluxDB so visualising the metric you are collecting using Collectd etc is straightforward Here is how to do it,Aug 2017,set up grafana to use collectd and influxdb,grafana provid outofthebox support for influxdb so visualis the metric you are collect use collectd etc is straightforward here is how to do it,aug 2017
Setting up Collectd and InfluxDB on Mac OS X,A quick copypasteable process for installing Collectd and InfluxDB on your Mac for some local testing,Aug 2017,set up collectd and influxdb on mac os x,a quick copypast process for instal collectd and influxdb on your mac for some local test,aug 2017
Getting Started with timeseries data using InfluxDB,A quick comparison of relational v timeseries database followed by a brief handson tutorial for InfluxDB on a local Mac OS,Aug 2017,get start with timeseri data use influxdb,a quick comparison of relat v timeseri databas follow by a brief handson tutori for influxdb on a local mac os,aug 2017
Getting started with server metric collection with Collectd,Collectd a Cbased daemon is a fast and lightweight metric shipper,Aug 2017,get start with server metric collect with collectd,collectd a cbase daemon is a fast and lightweight metric shipper,aug 2017
Retry Strategies for Transient Failures,A very basic reality of computer networking is that it fails And when it doe there are way to retry your connection to make life easier for you and other client a well,Aug 2017,retri strategi for transient failur,a veri basic realiti of comput network is that it fail and when it doe there are way to retri your connect to make life easier for you and other client a well,aug 2017
Using Route 53 a a Load Balancer,AWS Elastic load balancer do their job well but they can get pricey So naturally I tried using Route53 for load balancing traffic It wa a lot harder than I thought and while this experiment did not succeed I am noting my approach here for better luck next time,Aug 2017,use rout 53 a a load balanc,aw elast load balanc do their job well but they can get pricey so natur i tri use route53 for load balanc traffic it wa a lot harder than i thought and while thi experi did not succeed i am note my approach here for better luck next time,aug 2017
MySQL Database backup to S3,A handy bash script to backup all MySQL database to AWS S3,Aug 2017,mysql databas backup to s3,a handi bash script to backup all mysql databas to aw s3,aug 2017
Mastodon Users and Instances in Sqlite3 Using Python,The title really say it all exporting data from JSON and ingesting into Sqlite3,Apr 2017,mastodon user and instanc in sqlite3 use python,the titl realli say it all export data from json and ingest into sqlite3,apr 2017
The Ultimate Guide to Using Mail in Linux,I installed mutt to send email from the commandline It is fast and the CLI switch are memorable Worth a look if you use the CLI for sending email a lot,Apr 2017,the ultim guid to use mail in linux,i instal mutt to send email from the commandlin it is fast and the cli switch are memor worth a look if you use the cli for send email a lot,apr 2017
Fixing ValueErrorunknown locale s localename in Python,You get 3 guess for what the solution could be,Mar 2017,fix valueerrorunknown local s localenam in python,you get 3 guess for what the solut could be,mar 2017
Getting Started with Xinetd,Xinetd is a lightweight and straightfoward HTTP server Not a powerful a Nginx but it is great for simple thing like configuring health check,Mar 2017,get start with xinetd,xinetd is a lightweight and straightfoward http server not a power a nginx but it is great for simpl thing like configur health check,mar 2017
Getting City Country and ISP of an IP address using Maxmind GeoIP,The Maxmind GeoIP database is useful for looking up the country and ISP information for an IP address,Mar 2017,get citi countri and isp of an ip address use maxmind geoip,the maxmind geoip databas is use for look up the countri and isp inform for an ip address,mar 2017
AWS GCS Azure and Digital Ocean incident by service in 2016,I pulled the data for technology incident for the major cloud service The finding were pretty interesting,Mar 2017,aw gc azur and digit ocean incid by servic in 2016,i pull the data for technolog incid for the major cloud servic the find were pretti interest,mar 2017
I Have Something to Say II,These have been the confession of a firefighter who ignored the smoke,Mar 2017,i have someth to say ii,these have been the confess of a firefight who ignor the smoke,mar 2017
Using Weighted Geo and Failover Routeing in Route 53,At work one of my recent project involved setting up a multiregion failover with weightedrouting support Thankfully Route53 ha all of these builtin Here is how to do it,Mar 2017,use weight geo and failov rout in rout 53,at work one of my recent project involv set up a multiregion failov with weightedrout support thank route53 ha all of these builtin here is how to do it,mar 2017
You still might need a staging server in 2017,It is 2017 and the cloud ha matured by leap and bound So do we still need staging server,Mar 2017,you still might need a stage server in 2017,it is 2017 and the cloud ha matur by leap and bound so do we still need stage server,mar 2017
AWS GCS Azure and Digital Ocean incident in 2016,I pulled the data for technology incident on the major cloud platform The finding were pretty interesting,Mar 2017,aw gc azur and digit ocean incid in 2016,i pull the data for technolog incid on the major cloud platform the find were pretti interest,mar 2017
I Have Something to Say,Ten year from now if or when I am in another job no one is going to care whether I ran my production server with my heart and soul They will care if I saved money they will care if I ran it efficiently but you can do those thing while still compromising your value,Mar 2017,i have someth to say,ten year from now if or when i am in anoth job no one is go to care whether i ran my product server with my heart and soul they will care if i save money they will care if i ran it effici but you can do those thing while still compromis your valu,mar 2017
Connecting VPCs in 2 AWS Regions Sitetosite VPN,A stepbystep guide for connecting 2 AWS VPSs using selfhosted StrongSwan VPNs,Feb 2017,connect vpc in 2 aw region sitetosit vpn,a stepbystep guid for connect 2 aw vpss use selfhost strongswan vpn,feb 2017
Installing PHP 7 FPM MySQL 57 Nginx 110 on Ubuntu 1604,These are instruction for installing PHP7 MySQL 57 and Nginx 110 on Ubuntu 1604 Very copypasteable,Feb 2017,instal php 7 fpm mysql 57 nginx 110 on ubuntu 1604,these are instruct for instal php7 mysql 57 and nginx 110 on ubuntu 1604 veri copypast,feb 2017
Working with Logical Volume Manager LVM,Some note on Logical Volume Manager What it is why it is and how to use it,Feb 2017,work with logic volum manag lvm,some note on logic volum manag what it is whi it is and how to use it,feb 2017
Fiddling with Logrotate,Logrotate is one of those builtin Linux thing that we do not use often enough Rotating log archiving them to S3 pushing them to some remote serverendpoint etc It is all doable with Logrotate,Jan 2017,fiddl with logrot,logrot is one of those builtin linux thing that we do not use often enough rotat log archiv them to s3 push them to some remot serverendpoint etc it is all doabl with logrot,jan 2017
AWS Route 53 Notes,Route53 what why how why not,Jan 2017,aw rout 53 note,route53 what whi how whi not,jan 2017
AWS EBS Types ReadWrite Benchmarks,I ran hdparm and dd on GP2 PIOPS SC1 ST1 and Magnetic EBS volume Check out the result,Jan 2017,aw eb type readwrit benchmark,i ran hdparm and dd on gp2 piop sc1 st1 and magnet eb volum check out the result,jan 2017
Logging AWS spot instance termination,AWS spot instance provide 90 saving over ondemand server The downside AWS can yank them whenever they want and you have 2 minute to back thing up How do you know when the starting pistol fire,Oct 2016,log aw spot instanc termin,aw spot instanc provid 90 save over ondemand server the downsid aw can yank them whenev they want and you have 2 minut to back thing up how do you know when the start pistol fire,oct 2016
Decompressing request using GZIP with Nginx,If you are using a Lua module with Nginx then decompressing GZIPped data requires some extra handling,Oct 2016,decompress request use gzip with nginx,if you are use a lua modul with nginx then decompress gzip data requir some extra handl,oct 2016
Compressing output using GZIP with PHP 53,It is pretty hard to compress output with GZIP in PHP 53 but in case you ever need to here is how,Oct 2016,compress output use gzip with php 53,it is pretti hard to compress output with gzip in php 53 but in case you ever need to here is how,oct 2016
Introduction to Loadbalancing with Nginx,I will explore the basic of selfhosted loadbalancing with Nginx using a convenient testing setup using Vagrant,Aug 2016,introduct to loadbalanc with nginx,i will explor the basic of selfhost loadbalanc with nginx use a conveni test setup use vagrant,aug 2016
Reading JWT token in Phalcon,Here is how to read a response JSON web token in PHP Phalcon,Aug 2016,read jwt token in phalcon,here is how to read a respons json web token in php phalcon,aug 2016
Setting Custom 404 Controller in Phalcon,After CodeIgniter Phalcon wa the second PHP framework that I used Blazingly fast and easytouse one of the first thing I did wa create a custom 404 response controller,Aug 2016,set custom 404 control in phalcon,after codeignit phalcon wa the second php framework that i use blazingli fast and easytous one of the first thing i did wa creat a custom 404 respons control,aug 2016
DNS Record Types,A quick guide to the different DNS record type,Aug 2016,dn record type,a quick guid to the differ dn record type,aug 2016
Securing Nginx with Let u Encrypt Free SSL Certificate,Let u Encrypt is the selfhosted industrystandard method of generating SSL certificate for your application If you are still paying for SSL certificate you are doing it wrong,Aug 2016,secur nginx with let u encrypt free ssl certif,let u encrypt is the selfhost industrystandard method of gener ssl certif for your applic if you are still pay for ssl certif you are do it wrong,aug 2016
Vertical Scaling v Horizontal Scaling,The difference between vertical and horizontal scaling may be simple but they are critical to using cloud technology effectively,Aug 2016,vertic scale v horizont scale,the differ between vertic and horizont scale may be simpl but they are critic to use cloud technolog effect,aug 2016
Essential VIM Keyboard Shortcuts,A quick guide of essential VIM shortcut,Aug 2016,essenti vim keyboard shortcut,a quick guid of essenti vim shortcut,aug 2016
Notes on AWS SQS,AWS SQS what why how why not,Aug 2016,note on aw sq,aw sq what whi how whi not,aug 2016
MySQL Physical Backup with Innobackupex,Innobackupex part of Percona Xtrabackup can perform physical backup of your MySQL database,Aug 2016,mysql physic backup with innobackupex,innobackupex part of percona xtrabackup can perform physic backup of your mysql databas,aug 2016
Introduction to MySQL Partitioning,MySQL partitioning basic what why and how,Aug 2016,introduct to mysql partit,mysql partit basic what whi and how,aug 2016
